股票代码,股票简称,行业
601236,红塔证券,证券
601698,中国卫通,通信服务
603501,豪威集团,半导体
603019,中科曙光,计算机设备
000596,古井贡酒,酿酒行业
002938,鹏鼎控股,电子元件
300413,芒果超媒,文化传媒
300498,温氏股份,农牧饲渔
601319,中国人保,保险
603986,兆易创新,半导体
002179,中航光电,电子元件
000661,长春高新,生物制品
002001,新 和 成,化学制药
601138,工业富联,消费电子
002311,海大集团,农牧饲渔
600760,中航沈飞,航天航空
601066,中信建投,证券
603259,药明康德,医疗服务
600438,通威股份,光伏设备
600809,山西汾酒,酿酒行业
601360,三六零,软件开发
600025,华能水电,电力行业
600346,恒力石化,化纤行业
603288,海天味业,食品饮料
601238,广汽集团,汽车整车
601838,成都银行,银行
601012,隆基绿能,光伏设备
002601,龙佰集团,化学原料
603799,华友钴业,能源金属
600011,华能国际,电力行业
603833,欧派家居,装修建材
002460,赣锋锂业,能源金属
601878,浙商证券,证券
300122,智飞生物,生物制品
300015,爱尔眼科,医疗服务
002352,顺丰控股,物流行业
600436,片仔癀,中药
600919,江苏银行,银行
600926,杭州银行,银行
601229,上海银行,银行
601881,中国银河,证券
002714,牧原股份,农牧饲渔
300033,同花顺,软件开发
601877,正泰电器,电网设备
000938,紫光股份,互联网服务
002027,分众传媒,文化传媒
600061,国投资本,证券
001979,招商蛇口,房地产开发
601211,国泰海通,证券
601985,中国核电,电力行业
002736,国信证券,证券
300059,东方财富,互联网服务
600958,东方证券,证券
601021,春秋航空,航空机场
601788,光大证券,证券
601919,中远海控,航运港口
000166,申万宏源,证券
600570,恒生电子,软件开发
300124,汇川技术,电子元件
601225,陕西煤业,煤炭行业
002252,上海莱士,生物制品
002475,立讯精密,消费电子
600018,上港集团,航运港口
002230,科大讯飞,软件开发
000333,美的集团,家电行业
000963,华东医药,化学制药
600332,白云山,中药
603993,洛阳钼业,小金属
002236,大华股份,计算机设备
600886,国投电力,电力行业
601800,中国交建,工程建设
000725,京东方Ａ,光学光电子
002241,歌尔股份,消费电子
601336,新华保险,保险
601633,长城汽车,汽车整车
601669,中国电建,工程建设
601901,方正证券,证券
002594,比亚迪,汽车整车
601377,兴业证券,证券
000776,广发证券,证券
002415,海康威视,计算机设备
600115,中国东航,航空机场
600276,恒瑞医药,化学制药
600406,国电南瑞,电网设备
600887,伊利股份,食品饮料
600893,航发动力,航天航空
601818,光大银行,银行
601288,农业银行,银行
002304,洋河股份,酿酒行业
600999,招商证券,证券
601688,华泰证券,证券
601888,中国中免,旅游酒店
601618,中国中冶,工程建设
601668,中国建筑,工程建设
601766,中国中车,交运设备
000100,TCL科技,光学光电子
600588,用友网络,软件开发
601186,中国铁建,工程建设
601899,紫金矿业,有色金属
601390,中国中铁,工程建设
601601,中国太保,保险
601939,建设银行,银行
000338,潍柴动力,汽车零部件
000895,双汇发展,食品饮料
002142,宁波银行,银行
600111,北方稀土,小金属
601009,南京银行,银行
601169,北京银行,银行
601857,中国石油,石油行业
601088,中国神华,煤炭行业
000876,新 希 望,农牧饲渔
601328,交通银行,银行
601998,中信银行,银行
601600,中国铝业,有色金属
601318,中国平安,保险
601166,兴业银行,银行
601628,中国人寿,保险
600547,山东黄金,贵金属
601111,中国国航,航空机场
600048,保利发展,房地产开发
601398,工商银行,银行
601006,大秦铁路,物流行业
601988,中国银行,银行
000768,中航西飞,航天航空
000538,云南白药,中药
600690,海尔智家,家电行业
600660,福耀玻璃,玻璃玻纤
600585,海螺水泥,水泥建材
600519,贵州茅台,酿酒行业
600362,江西铜业,有色金属
000858,五 粮 液,酿酒行业
000625,长安汽车,汽车整车
000651,格力电器,家电行业
000568,泸州老窖,酿酒行业
000425,徐工机械,工程机械
000157,中联重科,工程机械
000063,中兴通讯,通信设备
000001,平安银行,银行
600009,上海机场,航空机场
600010,包钢股份,钢铁行业
600015,华夏银行,银行
600016,民生银行,银行
600019,宝钢股份,钢铁行业
600028,中国石化,石油行业
600029,南方航空,航空机场
600030,中信证券,证券
600031,三一重工,工程机械
600036,招商银行,银行
600050,中国联通,通信服务
000002,万  科Ａ,房地产开发
